Type,ID,Vendor,Title,Price,Image,Link
Processors,1,Intel,Intel® Core™ Ultra 5 225 (4.9GHZ) Desktop Processor,"₱11,200.00",//pcx.com.ph/cdn/shop/files/CP.jpg?v=1753059598&width=1,/products/intel-core-ultra-5-225-4-9ghz-desktop-processor?_pos=1&_sid=904140c2a&_ss=r
Processors,2,Intel,Intel® Core™ Ultra 7 265 Desktop Processor,"₱22,650.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-ULTRA-7-265-1.jpg?v=1741570041&width=1,/products/intel%C2%AE-core-ultra-7-265-desktop-processor?_pos=2&_sid=904140c2a&_ss=r
Processors,3,Intel,Intel® Core™ Ultra 5 245K Desktop Processor,"₱14,750.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-ULTRA-5-245K-1.jpg?v=1731893843&width=1,/products/intel-core-ultra-5-245k-desktop-processor?_pos=3&_sid=904140c2a&_ss=r
Processors,4,AMD,AMD Ryzen™  5 5500GT Desktop Processor (3.6 up to 4.4GHz),"₱7,600.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-5-5500GT-_3.6GHZ_-1.jpg?v=1707725974&width=1,/products/amd-ryzen-5-5500gt-desktop-processor-3-6-up-to-4-4ghz?_pos=4&_sid=904140c2a&_ss=r
Processors,5,AMD,AMD Ryzen™  5 8500G Desktop Processor (3.5 up to 5.0GHz),"₱9,750.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-5-8500G-3.5GHZ_-2.jpg?v=1707721783&width=1,/products/amd-ryzen-5-8500g-desktop-processor-3-5-up-to-5-0ghz?_pos=5&_sid=904140c2a&_ss=r
Processors,6,AMD,AMD Ryzen™  7 7700 Desktop Processor (Up to 3.8GHz),"₱19,800.00",//pcx.com.ph/cdn/shop/files/CPU-AMD-RYZEN-7-7700-_3.8GHZ_-1.jpg?v=1707355186&width=1,/products/amd-ryzen-7-7700-desktop-processor-up-to-3-8ghz?_pos=6&_sid=904140c2a&_ss=r
Processors,7,Intel,"Intel® Core™  i7-14700K Processor (33M Cache, up to 5.60 GHz)","₱22,200.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I7-14700K-1.jpg?v=1705980194&width=1,/products/intel-core-i7-14700k-processor-33m-cache-up-to-5-60-ghz?_pos=7&_sid=904140c2a&_ss=r
Processors,8,AMD,AMD Ryzen™  7 7700X Desktop Processor (4.5GHz),"₱20,950.00",//pcx.com.ph/cdn/shop/files/2.CPU-AMD-RYZEN-7-7700X-_4.5GHZ.jpg?v=1741933751&width=1,/products/amd-ryzen-7-7700x-desktop-processor-4-5ghz?_pos=8&_sid=904140c2a&_ss=r
Processors,9,Intel,"Intel®  Core™ i3-12100 Processor (12M Cache, up to 4.30 GHz)","₱7,050.00",//pcx.com.ph/cdn/shop/products/Artboard-2-66.png?v=1682667312&width=1,/products/intel-core-i3-12100-processor?_pos=9&_sid=904140c2a&_ss=r
Processors,10,Intel,"Intel®  Core™ i5-12400 Processor (18M Cache, up to 4.40 GHz)","₱9,950.00",//pcx.com.ph/cdn/shop/files/CPU-INTEL-CORE-I5-12400-1_97dc576b-4129-433a-9285-d802a7789e77.jpg?v=1752498066&width=1,/products/intel-core-i5-12400-processor?_pos=10&_sid=904140c2a&_ss=r
Processors,11,AMD,AMD Ryzen™ 5 7600 (3.8GHz) Desktop Processor,"₱12,700.00",//pcx.com.ph/cdn/shop/files/CPU-AMDRYZEN57600_3.8GHZ.jpg?v=1757314707&width=1,/products/amd-ryzen-5-7600-3-8ghz-desktop-processor?_pos=11&_sid=904140c2a&_ss=r
